Name	Meta	main_role	sub_role	Function	locus_tag
rplT	Genetic information processing	Protein synthesis	Ribosomal proteins: synthesis and modification	50S ribosomal protein L20	PgPan_0164
rpmI	Genetic information processing	Protein synthesis	Ribosomal proteins: synthesis and modification	50S ribosomal protein L35	PgPan_0165
CLI74_RS02785	Genetic information processing	Protein synthesis	Ribosomal proteins: synthesis and modification	50S ribosomal protein L28	PgPan_0349
rpmG	Genetic information processing	Protein synthesis	Ribosomal proteins: synthesis and modification	50S ribosomal protein L33	PgPan_0350
rpsA	Genetic information processing	Protein synthesis	Ribosomal proteins: synthesis and modification	30S ribosomal protein S1	PgPan_0455
rlmH	Genetic information processing	Protein synthesis	Ribosomal proteins: synthesis and modification	23S rRNA (pseudouridine(1915)-N(3))-methyltransferase RlmH	PgPan_0706
CS545_RS09870	Genetic information processing	Protein synthesis	Ribosomal proteins: synthesis and modification	30S ribosomal protein S16	PgPan_0732
rpmF	Genetic information processing	Protein synthesis	Ribosomal proteins: synthesis and modification	50S ribosomal protein L32	PgPan_0751
CF002_RS06980	Genetic information processing	Protein synthesis	Ribosomal proteins: synthesis and modification	30S ribosomal protein S20	PgPan_0977
rimP	Genetic information processing	Protein synthesis	Ribosomal proteins: synthesis and modification	ribosome assembly cofactor RimP	PgPan_1014
CS388_RS03795	Genetic information processing	Protein synthesis	Ribosomal proteins: synthesis and modification	50S ribosomal protein L25/general stress protein Ctc	PgPan_1089
rimO	Genetic information processing	Protein synthesis	Ribosomal proteins: synthesis and modification	30S ribosomal protein S12 methylthiotransferase RimO	PgPan_1105
rplQ	Genetic information processing	Protein synthesis	Ribosomal proteins: synthesis and modification	50S ribosomal protein L17	PgPan_1183
rpsD	Genetic information processing	Protein synthesis	Ribosomal proteins: synthesis and modification	30S ribosomal protein S4	PgPan_1185
rpsK	Genetic information processing	Protein synthesis	Ribosomal proteins: synthesis and modification	30S ribosomal protein S11	PgPan_1186
rpsM	Genetic information processing	Protein synthesis	Ribosomal proteins: synthesis and modification	30S ribosomal protein S13	PgPan_1187
rpmJ	Genetic information processing	Protein synthesis	Ribosomal proteins: synthesis and modification	50S ribosomal protein L36	PgPan_1188
rplO	Genetic information processing	Protein synthesis	Ribosomal proteins: synthesis and modification	50S ribosomal protein L15	PgPan_1192
rpmD	Genetic information processing	Protein synthesis	Ribosomal proteins: synthesis and modification	50S ribosomal protein L30	PgPan_1193
rpsE	Genetic information processing	Protein synthesis	Ribosomal proteins: synthesis and modification	30S ribosomal protein S5	PgPan_1194
CF001_RS19585	Genetic information processing	Protein synthesis	Ribosomal proteins: synthesis and modification	50S ribosomal protein L18	PgPan_1195
rplF	Genetic information processing	Protein synthesis	Ribosomal proteins: synthesis and modification	50S ribosomal protein L6	PgPan_1196
rpsH	Genetic information processing	Protein synthesis	Ribosomal proteins: synthesis and modification	30S ribosomal protein S8	PgPan_1197
rpsN	Genetic information processing	Protein synthesis	Ribosomal proteins: synthesis and modification	30S ribosomal protein S14	PgPan_1198
rplE	Genetic information processing	Protein synthesis	Ribosomal proteins: synthesis and modification	50S ribosomal protein L5	PgPan_1199
rplX	Genetic information processing	Protein synthesis	Ribosomal proteins: synthesis and modification	50S ribosomal protein L24	PgPan_1200
rplN	Genetic information processing	Protein synthesis	Ribosomal proteins: synthesis and modification	50S ribosomal protein L14	PgPan_1201
rpsQ	Genetic information processing	Protein synthesis	Ribosomal proteins: synthesis and modification	30S ribosomal protein S17	PgPan_1202
rpmC	Genetic information processing	Protein synthesis	Ribosomal proteins: synthesis and modification	50S ribosomal protein L29	PgPan_1203
rplP	Genetic information processing	Protein synthesis	Ribosomal proteins: synthesis and modification	50S ribosomal protein L16	PgPan_1204
rpsC	Genetic information processing	Protein synthesis	Ribosomal proteins: synthesis and modification	30S ribosomal protein S3	PgPan_1205
rplV	Genetic information processing	Protein synthesis	Ribosomal proteins: synthesis and modification	50S ribosomal protein L22	PgPan_1206
rpsS	Genetic information processing	Protein synthesis	Ribosomal proteins: synthesis and modification	30S ribosomal protein S19	PgPan_1207
rplB	Genetic information processing	Protein synthesis	Ribosomal proteins: synthesis and modification	50S ribosomal protein L2	PgPan_1208
rplW	Genetic information processing	Protein synthesis	Ribosomal proteins: synthesis and modification	50S ribosomal protein L23	PgPan_1209
rplD	Genetic information processing	Protein synthesis	Ribosomal proteins: synthesis and modification	50S ribosomal protein L4	PgPan_1210
rplC	Genetic information processing	Protein synthesis	Ribosomal proteins: synthesis and modification	50S ribosomal protein L3	PgPan_1211
rpsJ	Genetic information processing	Protein synthesis	Ribosomal proteins: synthesis and modification	30S ribosomal protein S10	PgPan_1212
rpsG	Genetic information processing	Protein synthesis	Ribosomal proteins: synthesis and modification	30S ribosomal protein S7	PgPan_1214
HMPREF1555_RS05840	Genetic information processing	Protein synthesis	Ribosomal proteins: synthesis and modification	30S ribosomal protein S12	PgPan_1215
rplS	Genetic information processing	Protein synthesis	Ribosomal proteins: synthesis and modification	50S ribosomal protein L19	PgPan_1261
rpmH	Genetic information processing	Protein synthesis	Ribosomal proteins: synthesis and modification	50S ribosomal protein L34	PgPan_1461
prmA	Genetic information processing	Protein synthesis	Ribosomal proteins: synthesis and modification	50S ribosomal protein L11 methyltransferase	PgPan_1481
AT291_RS04650	Genetic information processing	Protein synthesis	Ribosomal proteins: synthesis and modification	50S ribosomal protein L9	PgPan_1512
rpsR	Genetic information processing	Protein synthesis	Ribosomal proteins: synthesis and modification	30S ribosomal protein S18	PgPan_1513
CF003_RS13535	Genetic information processing	Protein synthesis	Ribosomal proteins: synthesis and modification	30S ribosomal protein S6	PgPan_1514
SJDPG2_RS04220	Genetic information processing	Protein synthesis	Ribosomal proteins: synthesis and modification	type B 50S ribosomal protein L31	PgPan_1517
rpsO	Genetic information processing	Protein synthesis	Ribosomal proteins: synthesis and modification	30S ribosomal protein S15	PgPan_1675
rplU	Genetic information processing	Protein synthesis	Ribosomal proteins: synthesis and modification	50S ribosomal protein L21	PgPan_1721
rpmA	Genetic information processing	Protein synthesis	Ribosomal proteins: synthesis and modification	50S ribosomal protein L27	PgPan_1722
rplM	Genetic information processing	Protein synthesis	Ribosomal proteins: synthesis and modification	50S ribosomal protein L13	PgPan_1772
rpsI	Genetic information processing	Protein synthesis	Ribosomal proteins: synthesis and modification	30S ribosomal protein S9	PgPan_1773
rpsB	Genetic information processing	Protein synthesis	Ribosomal proteins: synthesis and modification	30S ribosomal protein S2	PgPan_1774
HMPREF1555_RS08890	Genetic information processing	Protein synthesis	Ribosomal proteins: synthesis and modification	30S ribosomal protein S21	PgPan_1781
rplK	Genetic information processing	Protein synthesis	Ribosomal proteins: synthesis and modification	50S ribosomal protein L11	PgPan_1786
CLI74_RS00590	Genetic information processing	Protein synthesis	Ribosomal proteins: synthesis and modification	50S ribosomal protein L1	PgPan_1787
PGS_RS07200	Genetic information processing	Protein synthesis	Ribosomal proteins: synthesis and modification	50S ribosomal protein L10	PgPan_1788
rplL	Genetic information processing	Protein synthesis	Ribosomal proteins: synthesis and modification	50S ribosomal protein L7/L12	PgPan_1789
CBG53_RS06545	Genetic information processing	Protein synthesis	Translation factors	translation initiation factor IF-3	PgPan_0166
B0492_RS03200	Genetic information processing	Protein synthesis	Translation factors	peptide chain release factor 2	PgPan_0242
group_3745	Genetic information processing	Protein synthesis	Translation factors	elongation factor P	PgPan_0475
SJDPG2_RS04440	Genetic information processing	Protein synthesis	Translation factors	molecular chaperone DnaK	PgPan_0873
infB	Genetic information processing	Protein synthesis	Translation factors	translation initiation factor IF-2	PgPan_1012
CS544_RS04290	Genetic information processing	Protein synthesis	Translation factors	translation initiation factor	PgPan_1016
CS548_RS02110	Genetic information processing	Protein synthesis	Translation factors	peptide chain release factor 3	PgPan_1056
CF003_RS11550	Genetic information processing	Protein synthesis	Translation factors	RNA-binding S4 domain-containing protein	PgPan_1091
rsgA	Genetic information processing	Protein synthesis	Translation factors	ribosome small subunit-dependent GTPase A	PgPan_1179
frr	Genetic information processing	Protein synthesis	Translation factors	ribosome recycling factor	PgPan_1180
infA	Genetic information processing	Protein synthesis	Translation factors	translation initiation factor IF-1	PgPan_1189
fusA	Genetic information processing	Protein synthesis	Translation factors	elongation factor G	PgPan_1213
prfA	Genetic information processing	Protein synthesis	Translation factors	peptide chain release factor 1	PgPan_1290
efp	Genetic information processing	Protein synthesis	Translation factors	elongation factor P	PgPan_1537
CS544_RS08335	Genetic information processing	Protein synthesis	Translation factors	elongation factor Ts	PgPan_1775
raiA	Genetic information processing	Protein synthesis	Translation factors	ribosome-associated translation inhibitor RaiA	PgPan_1782
tuf	Genetic information processing	Protein synthesis	Translation factors	elongation factor Tu	PgPan_1783
group_3747	Genetic information processing	Protein synthesis	Translation factors	elongation factor P	PgPan_2117
B0493_RS09470	Genetic information processing	Protein synthesis	tRNA aminoacylation	leucine--tRNA ligase	PgPan_0038
CS549_RS09870	Genetic information processing	Protein synthesis	tRNA aminoacylation	proline--tRNA ligase	PgPan_0148
thrS	Genetic information processing	Protein synthesis	tRNA aminoacylation	threonine--tRNA ligase	PgPan_0167
HMPREF1555_RS02090	Genetic information processing	Protein synthesis	tRNA aminoacylation	valine--tRNA ligase	PgPan_0255
asnS	Genetic information processing	Protein synthesis	tRNA aminoacylation	asparagine--tRNA ligase	PgPan_0265
AT291_RS07055	Genetic information processing	Protein synthesis	tRNA aminoacylation	D-tyrosyl-tRNA(Tyr) deacylase	PgPan_0327
lysS	Genetic information processing	Protein synthesis	tRNA aminoacylation	lysine--tRNA ligase	PgPan_0390
queF	Genetic information processing	Protein synthesis	tRNA aminoacylation	NADPH-dependent 7-cyano-7-deazaguanine reductase QueF	PgPan_0411
alaS	Genetic information processing	Protein synthesis	tRNA aminoacylation	alanine--tRNA ligase	PgPan_0495
AT291_RS07185	Genetic information processing	Protein synthesis	tRNA aminoacylation	methionyl-tRNA formyltransferase	PgPan_0588
ybaK	Genetic information processing	Protein synthesis	tRNA aminoacylation	Cys-tRNA(Pro) deacylase	PgPan_0654
HMPREF1555_RS07430	Genetic information processing	Protein synthesis	tRNA aminoacylation	histidine--tRNA ligase	PgPan_0686
trpS	Genetic information processing	Protein synthesis	tRNA aminoacylation	tryptophan--tRNA ligase	PgPan_0704
CS543_RS00350	Genetic information processing	Protein synthesis	tRNA aminoacylation	glycine--tRNA ligase	PgPan_0808
B0493_RS08510	Genetic information processing	Protein synthesis	tRNA aminoacylation	glutamate--tRNA ligase	PgPan_0841
CF002_RS06395	Genetic information processing	Protein synthesis	tRNA aminoacylation	isoleucine--tRNA ligase	PgPan_0872
CS543_RS10530	Genetic information processing	Protein synthesis	tRNA aminoacylation	arginine--tRNA ligase	PgPan_1004
CS388_RS03390	Genetic information processing	Protein synthesis	tRNA aminoacylation	tyrosine--tRNA ligase	PgPan_1006
metG	Genetic information processing	Protein synthesis	tRNA aminoacylation	methionine--tRNA ligase	PgPan_1087
aspS	Genetic information processing	Protein synthesis	tRNA aminoacylation	aspartate--tRNA ligase	PgPan_1102
CF002_RS09140	Genetic information processing	Protein synthesis	tRNA aminoacylation	cysteine--tRNA ligase	PgPan_1158
CS388_RS05970	Genetic information processing	Protein synthesis	tRNA aminoacylation	glutamine--tRNA ligase/YqeY domain fusion protein	PgPan_1227
pheT	Genetic information processing	Protein synthesis	tRNA aminoacylation	phenylalanine--tRNA ligase subunit beta	PgPan_1309
pheS	Genetic information processing	Protein synthesis	tRNA aminoacylation	phenylalanine--tRNA ligase subunit alpha	PgPan_1661
serS	Genetic information processing	Protein synthesis	tRNA aminoacylation	serine--tRNA ligase	PgPan_1723
truA	Genetic information processing	Protein synthesis	tRNA and rRNA base modification	tRNA pseudouridine(38-40) synthase TruA	PgPan_0001
mnmE	Genetic information processing	Protein synthesis	tRNA and rRNA base modification	tRNA uridine-5-carboxymethylaminomethyl(34) synthesis GTPase MnmE	PgPan_0076
tsaE	Genetic information processing	Protein synthesis	tRNA and rRNA base modification	tRNA (adenosine(37)-N6)-threonylcarbamoyltransferase complex ATPase subunit type 1 TsaE	PgPan_0118
trmB	Genetic information processing	Protein synthesis	tRNA and rRNA base modification	tRNA (guanosine(46)-N7)-methyltransferase TrmB	PgPan_0146
PGA7_RS04705	Genetic information processing	Protein synthesis	tRNA and rRNA base modification	S-adenosylmethionine:tRNA ribosyltransferase-isomerase	PgPan_0154
miaB	Genetic information processing	Protein synthesis	tRNA and rRNA base modification	tRNA (N6-isopentenyl adenosine(37)-C2)-methylthiotransferase MiaB	PgPan_0182
CS059_RS08505	Genetic information processing	Protein synthesis	tRNA and rRNA base modification	radical SAM protein	PgPan_0216
CLI74_RS07145	Genetic information processing	Protein synthesis	tRNA and rRNA base modification	rRNA pseudouridine synthase	PgPan_0264
CS545_RS05840	Genetic information processing	Protein synthesis	tRNA and rRNA base modification	methyltransferase	PgPan_0274
rlmD	Genetic information processing	Protein synthesis	tRNA and rRNA base modification	23S rRNA (uracil(1939)-C(5))-methyltransferase RlmD	PgPan_0283
mnmG	Genetic information processing	Protein synthesis	tRNA and rRNA base modification	tRNA uridine-5-carboxymethylaminomethyl(34) synthesis enzyme MnmG	PgPan_0329
B0492_RS04185	Genetic information processing	Protein synthesis	tRNA and rRNA base modification	threonylcarbamoyl-AMP synthase	PgPan_0345
rsmG	Genetic information processing	Protein synthesis	tRNA and rRNA base modification	16S rRNA (guanine(527)-N(7))-methyltransferase RsmG	PgPan_0447
CF002_RS03765	Genetic information processing	Protein synthesis	tRNA and rRNA base modification	methyltransferase	PgPan_0454
B0492_RS08270	Genetic information processing	Protein synthesis	tRNA and rRNA base modification	RluA family pseudouridine synthase	PgPan_0501
trmD	Genetic information processing	Protein synthesis	tRNA and rRNA base modification	tRNA (guanosine(37)-N1)-methyltransferase TrmD	PgPan_0662
tilS	Genetic information processing	Protein synthesis	tRNA and rRNA base modification	tRNA lysidine(34) synthetase TilS	PgPan_0673
rlmN	Genetic information processing	Protein synthesis	tRNA and rRNA base modification	23S rRNA (adenine(2503)-C(2))-methyltransferase RlmN	PgPan_0688
mtaB	Genetic information processing	Protein synthesis	tRNA and rRNA base modification	tRNA (N(6)-L-threonylcarbamoyladenosine(37)-C(2))- methylthiotransferase MtaB	PgPan_0762
B0490_RS01315	Genetic information processing	Protein synthesis	tRNA and rRNA base modification	16S rRNA (uracil(1498)-N(3))-methyltransferase	PgPan_0816
mnmD	Genetic information processing	Protein synthesis	tRNA and rRNA base modification	tRNA (5-methylaminomethyl-2-thiouridine)(34)-methyltransferase MnmD	PgPan_0827
CS549_RS06695	Genetic information processing	Protein synthesis	tRNA and rRNA base modification	RNA pseudouridine synthase	PgPan_0896
HMPREF1555_RS03295	Genetic information processing	Protein synthesis	tRNA and rRNA base modification	tRNA threonylcarbamoyladenosine dehydratase	PgPan_0904
B0490_RS04110	Genetic information processing	Protein synthesis	tRNA and rRNA base modification	threonylcarbamoyl-AMP synthase	PgPan_0907
tsaD	Genetic information processing	Protein synthesis	tRNA and rRNA base modification	tRNA (adenosine(37)-N6)-threonylcarbamoyltransferase complex transferase subunit TsaD	PgPan_0978
mnmA	Genetic information processing	Protein synthesis	tRNA and rRNA base modification	tRNA 2-thiouridine(34) synthase MnmA	PgPan_1003
rsmI	Genetic information processing	Protein synthesis	tRNA and rRNA base modification	16S rRNA (cytidine(1402)-2-O)-methyltransferase	PgPan_1020
rsmA	Genetic information processing	Protein synthesis	tRNA and rRNA base modification	16S rRNA (adenine(1518)-N(6)/adenine(1519)-N(6))- dimethyltransferase RsmA	PgPan_1120
rlmB	Genetic information processing	Protein synthesis	tRNA and rRNA base modification	23S rRNA (guanosine(2251)-2-O)-methyltransferase RlmB	PgPan_1135
mnmH	Genetic information processing	Protein synthesis	tRNA and rRNA base modification	tRNA 2-selenouridine(34) synthase MnmH	PgPan_1166
PGJ_RS05205	Genetic information processing	Protein synthesis	tRNA and rRNA base modification	RNA methyltransferase	PgPan_1336
CF001_RS13925	Genetic information processing	Protein synthesis	tRNA and rRNA base modification	nucleoside deaminase	PgPan_1339
CS059_RS00105	Genetic information processing	Protein synthesis	tRNA and rRNA base modification	RluA family pseudouridine synthase	PgPan_1348
rsmH	Genetic information processing	Protein synthesis	tRNA and rRNA base modification	16S rRNA (cytosine(1402)-N(4))-methyltransferase RsmH	PgPan_1534
group_4554	Genetic information processing	Protein synthesis	tRNA and rRNA base modification	tRNA (adenosine(37)-N6)-dimethylallyltransferase MiaA	PgPan_1572
tgt	Genetic information processing	Protein synthesis	tRNA and rRNA base modification	tRNA guanosine(34) transglycosylase Tgt	PgPan_1591
miaA	Genetic information processing	Protein synthesis	tRNA and rRNA base modification	tRNA (adenosine(37)-N6)-dimethylallyltransferase MiaA	PgPan_1742
EG14_RS09745	Genetic information processing	Protein synthesis	tRNA and rRNA base modification	class I SAM-dependent rRNA methyltransferase	PgPan_1766
CS374_RS07245	Genetic information processing	Protein synthesis	tRNA and rRNA base modification	SAM-dependent methyltransferase	PgPan_1829
queG	Genetic information processing	Protein synthesis	tRNA and rRNA base modification	tRNA epoxyqueuosine(34) reductase QueG	PgPan_1858
queA	Genetic information processing	Protein synthesis	tRNA and rRNA base modification	tRNA preQ1(34) S-adenosylmethionine ribosyltransferase-isomerase QueA	PgPan_1891
truB	Genetic information processing	Protein synthesis	tRNA and rRNA base modification	tRNA pseudouridine(55) synthase TruB	PgPan_1892
PGJ_RS05100	Genetic information processing	Transcription	Degradation of RNA	polyribonucleotide nucleotidyltransferase	PgPan_0013
PGA7_RS03500	Genetic information processing	Transcription	Degradation of RNA	Rne/Rng family ribonuclease	PgPan_0485
PGA7_RS09400	Genetic information processing	Transcription	Degradation of RNA	DEAD/DEAH box helicase	PgPan_0716
rnr	Genetic information processing	Transcription	Degradation of RNA	ribonuclease R	PgPan_0975
rny	Genetic information processing	Transcription	Degradation of RNA	ribonuclease Y	PgPan_1797
CS388_RS08520	Genetic information processing	Transcription	DNA-dependent RNA polymerase	DNA-directed RNA polymerase subunit omega	PgPan_0517
AT291_RS01670	Genetic information processing	Transcription	DNA-dependent RNA polymerase	DNA-directed RNA polymerase subunit alpha	PgPan_1184
rpoB	Genetic information processing	Transcription	DNA-dependent RNA polymerase	DNA-directed RNA polymerase subunit beta	PgPan_1790
rpoC	Genetic information processing	Transcription	DNA-dependent RNA polymerase	DNA-directed RNA polymerase subunit beta	PgPan_1791
rbfA	Genetic information processing	Transcription	RNA processing	30S ribosome-binding factor RbfA	PgPan_0114
rimM	Genetic information processing	Transcription	RNA processing	16S rRNA processing protein RimM	PgPan_0395
CS548_RS02090	Genetic information processing	Transcription	RNA processing	ribonuclease P protein component	PgPan_1060
AT291_RS05720	Genetic information processing	Transcription	RNA processing	DEAD/DEAH box helicase	PgPan_1299
CS546_RS01450	Genetic information processing	Transcription	RNA processing	ribonuclease Z	PgPan_1338
rnc	Genetic information processing	Transcription	RNA processing	ribonuclease III	PgPan_1670
nusB	Genetic information processing	Transcription	Transcription factors	transcription antitermination factor NusB	PgPan_0046
B0493_RS09225	Genetic information processing	Transcription	Transcription factors	sigma-70 family RNA polymerase sigma factor	PgPan_0161
rpoN	Genetic information processing	Transcription	Transcription factors	RNA polymerase factor sigma-54	PgPan_0273
B0492_RS02295	Genetic information processing	Transcription	Transcription factors	RNA polymerase sigma factor	PgPan_0367
CF001_RS15710	Genetic information processing	Transcription	Transcription factors	sigma-70 family RNA polymerase sigma factor	PgPan_0436
greA	Genetic information processing	Transcription	Transcription factors	transcription elongation factor GreA	PgPan_0908
B0490_RS03070	Genetic information processing	Transcription	Transcription factors	RNA polymerase sigma factor	PgPan_0928
nusA	Genetic information processing	Transcription	Transcription factors	transcription termination/antitermination protein NusA	PgPan_1013
CS545_RS09120	Genetic information processing	Transcription	Transcription factors	sigma-70 family RNA polymerase sigma factor	PgPan_1046
PGS_RS01250	Genetic information processing	Transcription	Transcription factors	sigma-70 family RNA polymerase sigma factor	PgPan_1094
CS374_RS03450	Genetic information processing	Transcription	Transcription factors	sigma-54-dependent Fis family transcriptional regulator	PgPan_1107
AT291_RS08860	Genetic information processing	Transcription	Transcription factors	sigma-54-dependent Fis family transcriptional regulator	PgPan_1242
CS059_RS00015	Genetic information processing	Transcription	Transcription factors	sigma-54-dependent Fis family transcriptional regulator	PgPan_1333
CS544_RS09595	Genetic information processing	Transcription	Transcription factors	RNA polymerase sigma factor RpoD/SigA	PgPan_1515
CLI74_RS00175	Genetic information processing	Transcription	Transcription factors	SoxR reducing system RseC family protein	PgPan_1708
CS059_RS01930	Genetic information processing	Transcription	Transcription factors	transcription termination factor Rho	PgPan_1738
nusG	Genetic information processing	Transcription	Transcription factors	transcription termination/antitermination factor NusG	PgPan_1785
B0492_RS09900	Metabolism	Amino acid biosynthesis	Aromatic amino acid family	bifunctional 3-deoxy-7-phosphoheptulonate synthase/chorismate mutase type II	PgPan_0084
aroE	Metabolism	Amino acid biosynthesis	Aromatic amino acid family	shikimate dehydrogenase	PgPan_0159
aroC	Metabolism	Amino acid biosynthesis	Aromatic amino acid family	chorismate synthase	PgPan_0440
aroB	Metabolism	Amino acid biosynthesis	Aromatic amino acid family	3-dehydroquinate synthase	PgPan_0494
HMPREF1555_RS04670	Metabolism	Amino acid biosynthesis	Aromatic amino acid family	shikimate kinase	PgPan_0869
CS545_RS08800	Metabolism	Amino acid biosynthesis	Aromatic amino acid family	3-dehydroquinate dehydratase	PgPan_0985
PGF_RS08985	Metabolism	Amino acid biosynthesis	Aromatic amino acid family	3-phosphoshikimate 1-carboxyvinyltransferase	PgPan_1217
EG14_RS02250	Metabolism	Amino acid biosynthesis	Aromatic amino acid family	fumarylacetoacetate hydrolase family protein	PgPan_1249
PGJ_RS03815	Metabolism	Amino acid biosynthesis	Aspartate family	asparagine synthetase B family protein	PgPan_0250
B0492_RS10535	Metabolism	Amino acid biosynthesis	Aspartate family	nitrilase family protein	PgPan_0406
dapB	Metabolism	Amino acid biosynthesis	Aspartate family	4-hydroxy-tetrahydrodipicolinate reductase	PgPan_0579
HMPREF1555_RS07930	Metabolism	Amino acid biosynthesis	Aspartate family	4-hydroxy-tetrahydrodipicolinate synthase	PgPan_0678
CF001_RS10225	Metabolism	Amino acid biosynthesis	Aspartate family	aspartate kinase	PgPan_0788
lysA	Metabolism	Amino acid biosynthesis	Aspartate family	diaminopimelate decarboxylase	PgPan_0789
CLI74_RS01025	Metabolism	Amino acid biosynthesis	Aspartate family	saccharopine dehydrogenase family protein	PgPan_1394
CS543_RS04310	Metabolism	Amino acid biosynthesis	Aspartate family	aspartate-semialdehyde dehydrogenase	PgPan_1535
gdhA	Metabolism	Amino acid biosynthesis	Glutamate family	NADP-specific glutamate dehydrogenase	PgPan_0505
gltA	Metabolism	Amino acid biosynthesis	Glutamate family	NADPH-dependent glutamate synthase	PgPan_0660
CF002_RS02610	Metabolism	Amino acid biosynthesis	Lysine pathway	diaminopimelate dehydrogenase	PgPan_0045
selD	Metabolism	Amino acid biosynthesis	Noncanonical amino acid synthesis	"selenide, water dikinase SelD"	PgPan_1680
CS545_RS03040	Metabolism	Amino acid biosynthesis	Other3	amidohydrolase	PgPan_1542
PGA7_RS03355	Metabolism	Amino acid biosynthesis	Pyruvate family	branched-chain amino acid aminotransferase	PgPan_0461
serB	Metabolism	Amino acid biosynthesis	Serine family	phosphoserine phosphatase SerB	PgPan_0222
CS549_RS06935	Metabolism	Amino acid biosynthesis	Serine family	3-phosphoglycerate dehydrogenase	PgPan_0470
serC	Metabolism	Amino acid biosynthesis	Serine family	phosphoserine transaminase	PgPan_0471
CS550_RS05530	Metabolism	Amino acid biosynthesis	Serine family	NAD-dependent epimerase/dehydratase family protein	PgPan_0504
CLI74_RS03265	Metabolism	Amino acid biosynthesis	Serine family	serine hydroxymethyltransferase	PgPan_1263
CF002_RS02035	Metabolism	Amino acid biosynthesis	Serine family	SDR family oxidoreductase	PgPan_1396
group_3880	Metabolism	Amino acid biosynthesis	Serine family	protein-serine phosphatase SerB	PgPan_1463
CS549_RS07310	Metabolism	"Biosynthesis of cofactors, prosthetic groups, and carriers"	Biotin	8-amino-7-oxononanoate synthase	PgPan_0570
bioD	Metabolism	"Biosynthesis of cofactors, prosthetic groups, and carriers"	Biotin	ATP-dependent dethiobiotin synthetase BioD	PgPan_0679
SJDPG2_RS08440	Metabolism	"Biosynthesis of cofactors, prosthetic groups, and carriers"	Biotin	adenosylmethionine--8-amino-7-oxononanoate transaminase	PgPan_0700
bioB	Metabolism	"Biosynthesis of cofactors, prosthetic groups, and carriers"	Biotin	biotin synthase BioB	PgPan_0701
CS543_RS09975	Metabolism	"Biosynthesis of cofactors, prosthetic groups, and carriers"	Biotin	DUF452 family protein	PgPan_0945
bioC	Metabolism	"Biosynthesis of cofactors, prosthetic groups, and carriers"	Biotin	malonyl-ACP O-methyltransferase BioC	PgPan_0946
CS550_RS00715	Metabolism	"Biosynthesis of cofactors, prosthetic groups, and carriers"	Biotin	aminotransferase class I/II-fold pyridoxal phosphate-dependent enzyme	PgPan_1652
EG14_RS06920	Metabolism	"Biosynthesis of cofactors, prosthetic groups, and carriers"	Folic acid	2-amino-4-hydroxy-6- hydroxymethyldihydropteridine pyrophosphokinase	PgPan_0085
CF002_RS05875	Metabolism	"Biosynthesis of cofactors, prosthetic groups, and carriers"	Folic acid	alkaline phosphatase	PgPan_0087
PGA7_RS04470	Metabolism	"Biosynthesis of cofactors, prosthetic groups, and carriers"	Folic acid	hypothetical protein	PgPan_0190
CS387_RS01210	Metabolism	"Biosynthesis of cofactors, prosthetic groups, and carriers"	Folic acid	aminodeoxychorismate synthase component I	PgPan_0191
CBG53_RS06835	Metabolism	"Biosynthesis of cofactors, prosthetic groups, and carriers"	Folic acid	6-carboxytetrahydropterin synthase	PgPan_0215
CS548_RS01345	Metabolism	"Biosynthesis of cofactors, prosthetic groups, and carriers"	Folic acid	dihydrofolate reductase	PgPan_0685
folB	Metabolism	"Biosynthesis of cofactors, prosthetic groups, and carriers"	Folic acid	dihydroneopterin aldolase	PgPan_0710
folP	Metabolism	"Biosynthesis of cofactors, prosthetic groups, and carriers"	Folic acid	dihydropteroate synthase	PgPan_0867
folE	Metabolism	"Biosynthesis of cofactors, prosthetic groups, and carriers"	Folic acid	GTP cyclohydrolase I FolE	PgPan_1491
CS546_RS03420	Metabolism	"Biosynthesis of cofactors, prosthetic groups, and carriers"	Folic acid	cyclodeaminase/cyclohydrolase family protein	PgPan_1731
CS543_RS03810	Metabolism	"Biosynthesis of cofactors, prosthetic groups, and carriers"	Folic acid	bifunctional folylpolyglutamate synthase/dihydrofolate synthase	PgPan_1850
folK	Metabolism	"Biosynthesis of cofactors, prosthetic groups, and carriers"	Folic acid	2-amino-4-hydroxy-6- hydroxymethyldihydropteridine diphosphokinase	PgPan_1890
B0493_RS05020	Metabolism	"Biosynthesis of cofactors, prosthetic groups, and carriers"	"Heme, porphyrin, and cobalamin"	"cobyrinate a,c-diamide synthase"	PgPan_0228
CS549_RS09150	Metabolism	"Biosynthesis of cofactors, prosthetic groups, and carriers"	"Heme, porphyrin, and cobalamin"	"cob(I)yrinic acid a,c-diamide adenosyltransferase"	PgPan_0229
CS387_RS00985	Metabolism	"Biosynthesis of cofactors, prosthetic groups, and carriers"	"Heme, porphyrin, and cobalamin"	cobyric acid synthase	PgPan_0230
CS374_RS00135	Metabolism	"Biosynthesis of cofactors, prosthetic groups, and carriers"	"Heme, porphyrin, and cobalamin"	threonine-phosphate decarboxylase	PgPan_0231
cobD	Metabolism	"Biosynthesis of cofactors, prosthetic groups, and carriers"	"Heme, porphyrin, and cobalamin"	cobalamin biosynthesis protein CobD	PgPan_0232
PGF_RS05850	Metabolism	"Biosynthesis of cofactors, prosthetic groups, and carriers"	"Heme, porphyrin, and cobalamin"	"cob(I)yrinic acid a,c-diamide adenosyltransferase"	PgPan_0262
